Période,Trimestre,Nom du bénéficiaire,Ville,Province,Pays,Titre,Langue,Genre,Date,Valeur finale,Valeur originale,Type,Objectif, 
2009-2010,P1,Woodfall Films Inc.,Vancouver,Colombie-Britannique,Canada,Virtual Life,Anglais,Comédie,2009-04-02,31872.00,11822.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 21-OCT-08
2009-2010,P1,Cité-Amérique Inc.,Montréal,Québec,Canada,Soeur Marie-Thérèse des Batignolles,Français,Comédie,2009-04-03,35386.00,17200.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 28-JUN-07
2009-2010,P1,Love Child Productions Inc.,Toronto,Ontario,Canada,"Con Artist, The",Anglais,Comédie,2009-04-03,2967000.00,2820000.00,Investissement,Programme d'aide à la production,Contrat amendé signé le 18-FEB-09
2009-2010,P1,Studio Max Films Inc.,Montréal,Québec,Canada,Shameless (aka Mischief),Anglais,Drame,2009-04-06,97947.00,42000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 24-AUG-05
2009-2010,P1,Figura Films Inc.,Montréal,Québec,Canada,VEUFS (LES),Français,Drame,2009-04-07,18753.00,20000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 15-FEB-08
2009-2010,P1,Cinémaginaire inc.,Montréal,Québec,Canada,Passion (Grou),Anglais,Drame,2009-04-09,68125.00,73584.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 16-JAN-08
2009-2010,P1,MC2 Communication Média inc.,Montréal,Québec,Canada,Ekimondo,Français,Référence,2009-04-09,264140.00,150000.00,Avance remboursable,Programme d'aide à la production (Fonds des nouveaux médias du Canada),Contrat amendé signé le 19-DEC-07
2009-2010,P1,Cinémaginaire Inc.,Montréal,Québec,Canada,MOONSHINE LILY ,Français,Drame historique,2009-04-09,32685.00,34410.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 20-NOV-06
2009-2010,P1,Mongrel Media Inc.,Toronto,Ontario,Canada,Forgotten Woman (The),Anglais,Documentaire,2009-04-10,24216.00,57428.00,Avance remboursable,Programme de mise en marché,Contrat amendé signé le 08-JUL-08
2009-2010,P1,PUNK Films Inc.,Toronto,Ontario,Canada,Only,Anglais,Drame,2009-04-10,30000.00,30000.00,Avance remboursable,Programme de mise en marché,
2009-2010,P1,Seafarer Films Inc. ,Toronto,Ontario,Canada,November Gale,Anglais,Action/Aventure,2009-04-17,75000.00,35000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 14-OCT-08
2009-2010,P1,Emotion Pictures Incorporated,Halifax,Nouvelle-Écosse,Canada,Kit's Law,Anglais,Drame,2009-04-17,67074.00,35000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 19-DEC-07
2009-2010,P1,FCTNM,Montréal,Québec,Canada,FCTNM - 11e Gala,Français,0,2009-04-17,2000.00,2000.00,Contribution,Programme de promotion,
2009-2010,P1,Association des propriétaires de cinémas du Québec,Montréal,Québec,Canada,APCCQ - Souper annuel 2009,Français,0,2009-04-17,3000.00,3000.00,Contribution,Programme de promotion,
2009-2010,P1,Creo Inc.,Montréal,Québec,Canada,Forestia,Français,Ludo-Éducatif,2009-04-20,165350.00,60000.00,Avance remboursable,Programme d'aide au développement (Fonds des nouveaux médias du Canada),Contrat amendé signé le 21-MAR-07
2009-2010,P1,Straight Edge Films Inc.,Toronto,Ontario,Canada,Anti-Diva,Anglais,Drame historique,2009-04-20,75000.00,36863.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 22-DEC-06
2009-2010,P1,Northwood Productions Inc.,Toronto,Ontario,Canada,Grizzlies (The),Anglais,Drame,2009-04-21,75000.00,41328.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 01-MAY-08
2009-2010,P1,January Films Ltd.,Toronto,Ontario,Canada,Oma in Roma,Anglais,Comédie,2009-04-21,16390.00,10000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 29-JUL-08
2009-2010,P1,Contradiction Films Inc.,Vancouver,Colombie-Britannique,Canada,Bitten,Anglais,Horreur/Suspense,2009-04-21,21069.00,21069.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,No Equal Entertainment Inc.,Vancouver,Colombie-Britannique,Canada,International Idol,Anglais,Comédie,2009-04-21,25984.00,25984.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Film Départ inc.,Montréal,Québec,Canada,GRAND DÉPART (LE) (Meunier),Français,Comédie,2009-04-22,2336211.00,2350000.00,Investissement,Programme d'aide à la production,Contrat amendé signé le 11-SEPT-07
2009-2010,P1,"Films TVA, une division de Groupe TVA Inc. (Les)",Montréal,Québec,Canada,Déserteur (Le) (aka FILS DE JOSEPH (LE)),Français,Drame historique,2009-04-22,352680.00,435375.00,Avance remboursable,Programme de mise en marché,Contrat amendé signé le 12-DEC-08
2009-2010,P1,Serious Filmed Entertainment Inc.,Vancouver,Colombie-Britannique,Canada,"Lottery, The",Anglais,Horreur/Suspense,2009-04-22,14900.00,14900.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Overinteractive Media Inc.,Vancouver,Colombie-Britannique,Canada,Kids Are On Fire (The),Anglais,Comédie,2009-04-23,21502.00,21502.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Inferno Pictures Inc.,Winnipeg,Manitoba,Canada,Shed Devil,Anglais,Comédie,2009-04-23,17360.00,17360.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Leader Media Productions Ltd.,Toronto,Ontario,Canada,Finale,Anglais,Drame,2009-04-24,16687.00,16687.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Nedji Corporation,Toronto,Ontario,Canada,Uthando,Anglais,Drame,2009-04-26,42275.00,42275.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Connections Productions Inc.,Bedford,Nouvelle-Écosse,Canada,Profession:  Exorciste,Français,Documentaire,2009-04-27,2851.00,14900.00,"Subvention, Avance remboursable",Programme d'aide au développement,Contrat amendé signé le 08-JAN-07
2009-2010,P1,Somnapix Inc.,Toronto,Ontario,Canada,Celia,Anglais,Comédie romantique,2009-04-28,62160.00,36960.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 11-JUL-08
2009-2010,P1,Film Works Ltd. (The) ,Toronto,Ontario,Canada,Bone,Anglais,Western,2009-04-28,67855.00,32134.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 22-FEB-08
2009-2010,P1,Insight Production Company Ltd.,Toronto,Ontario,Canada,Paddle To The Amazon,Anglais,Action/Aventure,2009-04-29,54946.00,24946.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 26-MAY-08
2009-2010,P1,Abracadabra Productions Inc.,Toronto,Ontario,Canada,Let Him Be,Anglais,Drame,2009-04-29,30000.00,30000.00,Avance remboursable,Programme de mise en marché,
2009-2010,P1,3 Legged Dog Films Ltd.,Toronto,Ontario,Canada,Small Town Murder Scenes,Anglais,Mystère/Crime/Police,2009-04-29,30500.00,30500.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Association coopérative de productions audio-visuelles,Montréal,Québec,Canada,5-FU,Français,Drame,2009-04-30,21570.00,13370.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 25-AUG-08
2009-2010,P1,Eagle Vision Inc.,Winnipeg,Manitoba,Canada,Satan's Brew,Anglais,Comédie,2009-04-30,21822.00,21822.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Optic Nerve Films Inc.,Vancouver,Colombie-Britannique,Canada,Rebel Kind (The),Anglais,Drame,2009-05-01,42900.00,35000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 18-JAN-08
2009-2010,P1,9097-4767 Québec inc.,Montréal,Québec,Canada,Amour (L') (Bisaillon),Français,Drame,2009-05-01,22500.00,15000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 14-MAY-08
2009-2010,P1,Max Films Inc.,Montréal,Québec,Canada,"""PART DU FEU, LA ( AKA """"JEAN CORBO"""") """,Français,Drame,2009-05-04,22681.00,14000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 02-JUN-08
2009-2010,P1,Crazy8s Film Society,Vancouver,Colombie-Britannique,Canada,Crazy8s (APR 2009),Anglais,0,2009-05-04,25000.00,25000.00,Contribution,Programme de promotion,
2009-2010,P1,Big Blue Films Inc ,Winnipeg,Manitoba,Canada,Sense of Things (The),Anglais,Drame,2009-05-05,24990.00,24990.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,"Bennett, Guy",Vancouver,Colombie-Britannique,Canada,Black Angel,Anglais,Mystère/Crime/Police,2009-05-05,20050.00,20050.00,Avance remboursable,Programme d'aide au développement,
2009-2010,P1,Black Field Productions Inc.,Winnipeg,Manitoba,Canada,Black Field,Anglais,Drame historique,2009-05-05,200000.00,200000.00,Avance remboursable,Programme d'aide à la production,
